City,Timestamp,Temperature,Humidity,Description
Hyderabad,2023-12-23 06:00:00,298.71,44,overcast clouds
Hyderabad,2023-12-23 09:00:00,300.73,36,overcast clouds
Hyderabad,2023-12-23 12:00:00,297.69,46,broken clouds
Hyderabad,2023-12-23 15:00:00,294.03,61,clear sky
Hyderabad,2023-12-23 18:00:00,292.19,75,clear sky
Hyderabad,2023-12-23 21:00:00,291.25,80,clear sky
Hyderabad,2023-12-24 00:00:00,290.49,82,clear sky
Hyderabad,2023-12-24 03:00:00,293.56,70,clear sky
Hyderabad,2023-12-24 06:00:00,299.81,40,clear sky
Hyderabad,2023-12-24 09:00:00,302.16,32,clear sky
Hyderabad,2023-12-24 12:00:00,298.98,41,few clouds
Hyderabad,2023-12-24 15:00:00,295.37,53,few clouds
Hyderabad,2023-12-24 18:00:00,293.39,65,clear sky
Hyderabad,2023-12-24 21:00:00,292.14,72,clear sky
Hyderabad,2023-12-25 00:00:00,291.34,75,scattered clouds
Hyderabad,2023-12-25 03:00:00,294.42,64,broken clouds
Hyderabad,2023-12-25 06:00:00,300.38,38,scattered clouds
Hyderabad,2023-12-25 09:00:00,302.82,29,clear sky
Hyderabad,2023-12-25 12:00:00,299.57,38,clear sky
Hyderabad,2023-12-25 15:00:00,295.7,50,clear sky
Hyderabad,2023-12-25 18:00:00,293.83,59,clear sky
Hyderabad,2023-12-25 21:00:00,292.75,66,clear sky
Hyderabad,2023-12-26 00:00:00,291.86,69,clear sky
Hyderabad,2023-12-26 03:00:00,295.14,56,clear sky
Hyderabad,2023-12-26 06:00:00,300.78,35,clear sky
Hyderabad,2023-12-26 09:00:00,302.86,27,clear sky
Hyderabad,2023-12-26 12:00:00,299.83,35,clear sky
Ahmedabad,2023-12-21 15:00:00,294.17,49,few clouds
Ahmedabad,2023-12-21 18:00:00,294.39,40,scattered clouds
Ahmedabad,2023-12-21 21:00:00,293.92,33,broken clouds
Ahmedabad,2023-12-22 00:00:00,292.91,27,overcast clouds
Ahmedabad,2023-12-22 03:00:00,293.48,28,overcast clouds
Ahmedabad,2023-12-22 06:00:00,300.26,19,overcast clouds
Ahmedabad,2023-12-22 09:00:00,303.03,16,overcast clouds
Ahmedabad,2023-12-22 12:00:00,300.43,21,overcast clouds
Ahmedabad,2023-12-22 15:00:00,296.77,23,broken clouds
Ahmedabad,2023-12-22 18:00:00,295.01,23,scattered clouds
Ahmedabad,2023-12-22 21:00:00,293.7,25,clear sky
Ahmedabad,2023-12-23 00:00:00,292.48,29,clear sky
Ahmedabad,2023-12-23 03:00:00,293.41,31,clear sky
Ahmedabad,2023-12-23 06:00:00,300.96,20,clear sky
Ahmedabad,2023-12-23 09:00:00,304.16,17,clear sky
Ahmedabad,2023-12-23 12:00:00,301.52,22,clear sky
Ahmedabad,2023-12-23 15:00:00,297.58,24,clear sky
Ahmedabad,2023-12-23 18:00:00,295.59,26,clear sky
Ahmedabad,2023-12-23 21:00:00,293.91,29,clear sky
Ahmedabad,2023-12-24 00:00:00,292.69,30,clear sky
Ahmedabad,2023-12-24 03:00:00,293.6,30,clear sky
Ahmedabad,2023-12-24 06:00:00,301.33,20,clear sky
Ahmedabad,2023-12-24 09:00:00,304.54,17,clear sky
Ahmedabad,2023-12-24 12:00:00,301.74,22,clear sky
Ahmedabad,2023-12-24 15:00:00,297.73,26,clear sky
Ahmedabad,2023-12-24 18:00:00,295.78,27,clear sky
